national_type,,food_type,,restaurant_type,
Afghan,1,Bagels,1,Asian Fusion,1
African,2,Barbeque,2,Bakeries,2
American (New),3,Basque,3,Bars,3
American (Traditional),4,"Beer, Wine & Spirits",4,Beer Bar,4
Arabian,5,Bubble Tea,5,Beer Garden,5
Argentine,6,Burgers,6,Beer Gardens,6
Australian,7,Cheesesteaks,7,Bistros,7
Austrian,8,Chicken Wings,8,Breakfast & Brunch,8
Baden,9,Coffee & Tea,9,Breweries,9
Bangladeshi,10,Comfort Food,10,Buffets,10
Bavarian,11,Creperies,11,Butcher,11
Belgian,12,Cupcakes,12,Cafes,12
Brazilian,13,Curry Sausage,13,Cafeteria,13
British,14,Delicatessen,14,Candy Stores,14
Burmese,15,Dim Sum,15,Cantonese,15
Cajun/Creole,16,Donuts,16,Caterers,16
Cambodian,17,Ethnic Food,17,Champagne Bars,17
Canadian (New),18,Falafel,18,Cheese Shops,18
Caribbean,19,Fish & Chips,19,Chocolatiers & Shops,19
Chinese,20,Fondue,20,Cocktail Bars,20
Colombian,21,Gelato,21,Coffee & Tea Supplies,21
Cuban,22,Gluten-Free,22,Couriers & Delivery Services,22
Czech,23,Halal,23,Desserts,23
Diners,24,Herbs & Spices,24,Distilleries,24
Dominican,25,Hot Dogs,25,Dive Bars,25
Eastern European,26,Hot Pot,26,Do-It-Yourself Food,26
Eastern German,27,Ice Cream & Frozen Yogurt,27,Farmers Market,27
Egyptian,28,Kebab,28,Fast Food,28
Ethiopian,29,Pita,29,Flea Markets,29
Filipino,30,Pizza,30,Food Court,30
French,31,Pretzels,31,Food Stands,31
German,32,Ramen,32,Food Trucks,32
Greek,33,Salad,33,Fruits & Veggies,33
Haitian,34,Sandwiches,34,Gastropubs,34
Hawaiian,35,Seafood,35,Gay Bars,35
Himalayan/Nepalese,36,Shaved Ice,36,Hookah Bars,36
Hungarian,37,Soul Food,37,International,37
Iberian,38,Soup,38,Internet Cafes,38
Indian,39,Specialty Food,39,Irish Pub,39
Indonesian,40,Tapas/Small Plates,40,Izakaya,40
Irish,41,,,Jazz & Blues,41
Italian,42,,,Juice Bars & Smoothies,42
Japanese,43,,,Kosher,43
Korean,44,,,Local Flavor,44
Laotian,45,,,Lounges,45
Latin American,46,,,Meat Shops,46
Lebanese,47,,,Mediterranean,47
Malaysian,48,,,Modern European,48
Mexican,49,,,Organic Stores,49
Middle Eastern,50,,,Oriental,50
Mongolian,51,,,Patisserie/Cake Shop,51
Moroccan,52,,,Personal Chefs,52
Pakistani,53,,,Piano Bars,53
Persian/Iranian,54,,,Pub Food,54
Peruvian,55,,,Pubs,55
Polish,56,,,Seafood Markets,56
Portuguese,57,,,Southern,57
Russian,58,,,Sports Bars,58
Salvadoran,59,,,Steakhouses,59
Scandinavian,60,,,Sushi Bars,60
Scottish,61,,,Szechuan,61
Serbo Croatian,62,,,Tapas Bars,62
Shanghainese,63,,,Tea Rooms,63
Singaporean,64,,,Teppanyaki,64
Spanish,65,,,Tex-Mex,65
Swiss Food,66,,,Vegan,66
Taiwanese,67,,,Vegetarian,67
Thai,68,,,Wine Bars,68
Trinidadian,69,,,Wineries,69
Turkish,70,,,Wok,70
Ukrainian,71,,,,
Uzbek,72,,,,
Venezuelan,73,,,,
Vietnamese,74,,,,
